ID	Content	A	B	C	D
1391	The  patient __ to listen to his doctor's advice.	refused	hindered	lacked	resigned
1392	Children with __ diseases should not be allowed to go to school.	contact	infectious	constant	influential
1393	__ ten minutes of the start of the game two players had been sent off.	Before	Inside	Around	Within
1394	It  happened __ we were asleep last Friday night.	during	for	while	since
1395	It is obvious  __ everyone that he is not responsible for this mistake.	for	to	at	from
1396	His __ for  his loyal support of the party was a seat in the Cabinet.	recompense	repayment	reward	compensation
1397	What a mess! The papers need __.	sorting  out	sorting off	sorting out off	doing up
1398	I  hope his work __ by next Monday.	will have been  finished	has been finished	had been finished	is  finished
1399	I don't know the answer myself but I'll __ around  and see if anybody else knows.	ask	attend	accord	aim
1400	I thought the way you behaved was __ outrageous.	quite	very	extremely	exceptionally
1401	The only way to clean the box is to __ it  in soap and warm water.	polish	wash	brush	wipe
1402	It's  __ to rain again before morning.	possibly	likely	probably	certainly
1403	Little Angela hasn't  __ her shyness yet.	got over	got away from	got through	got  under
1404	The garage gave me a 5 per cent __ for paying cash.	discount	bargain	sale	less
1405	His cheek was very  __ after the wasp stung him.	wide	swollen	thick	blown
1406	"__ I  have an orange juice, please?"	Shall	Must	Could	Will
1407	Trade Union  officials and management met today to discuss the __ at the factory.	strike	closing	block	shutting
1408	She was unable to  warn her mother that she would be late because the telephone was __.	out of  work	off work	out of order	off duty
1409	Don't  __ him to arrive early. He's always late.	think	judge	attend	expect
1410	Our teacher explains things  so quickly that sometimes I can't __ her.	keep on  with	keep at	keep up to	keep up with
1411	"I'm so sorry I'm late, the car broke __ on my way here."	down	up	in	over
1412	The Prime Minister  signed the agreement __ the British Government.	on account  of	on behalf of	because of	by means of
1413	Who is going to pay __ the damage?	on	in	for	to
1414	George is jealous  __ his younger sister.	to	at	from	of
1415	"He might be good __ his job, but you can't rely on him."	in	on	at	by
1416	He had been  completely exhausted but felt considerably __ after a meal and a rest.	renewed	renovated	refreshed	remade
1417	My  eldest brother intends to take __ skating next winter.	to	in	away	up
1418	The bank __  planned to escape in a stolen car.	thieves	bandits	burglars	robbers
1419	Which surgeon is __ this month?	on the  call	on call	at call	at the call
1420	"Mary was very annoyed that her secretary did not meet her deadlines, and she  warned her that her laziness and __ could result in her dismissal."	procrastination	ambition	zeal	fortitude
1421	"He is very stubborn, so it will be difficult to  __ him to go."	persuade	suggest	make	prevent
1422	When the  time came to __ the bill at the hotel she found her purse had been stolen.	pay	pay out	pay for	pay up
1423	The film __  several scenes that might upset young children.	admits	involves	contains	displays
1424	We're moving out soon  because our house is going to be knocked __ when the new road is built.	off	out	down	away
1425	We returned our TV set  to the shop because it was __.	faulty	mistaken	incorrect	wrong
1426	Can you come at once? I  __ speak to you urgently.	can	must	should	ought to
1427	I've  never had to __ such rudeness before.	back out of	go off  with	get out of	put up with
1428	I don't think I have  __ eaten Indonesian food before.	always	sometimes	rarely	ever
1429	All Mike's friends felt sorry  __ him when he had to give up playing football.	with	for	about	at
1430	- Sidney: Shall we stay at home  or go for a walk? - Margot: Which __ do yourself?	do you  rather	will you rather	would you rather	did you  rather
1431	"At first, everything was __, just like any other  day. But then!"	normal	usual	average	common
1432	He  __ me $20 for mending my bicycle.	charged	asked	demanded	owed
1433	__  I tell you yesterday not to touch that dog!	Haven't	Hasn't	Didn't	Aren't
1434	Inflation and its upward __ is the scourge of our days.	trend	bend	stream	move
1435	Her  guest apologized for causing her so much __.	problem	complication	trouble	damage
1436	I am  __ to come to the meeting on Monday evening; please apologize for my  absence.	capable	excused	unable	disliked
1437	I suppose I can count __ you for help in this  matter?	in	on	of	from
1438	They  began by experimenting __ rats.	of	in	by	on
1439	They brought the land  with a __ to building a new office block.	view	purpose	goal	reason
1440	In all __  there will never be a third World War.	odds	probability	certainty	possibilities
1441	The defendant's family were present at the  __.	court	appeal	law	hearing
1442	I don't  __ with your decision but I do think that you might have told me last  week.	displease	disagree	dislike	disregard
1443	__ I lock the door for you?	Shall	Will	Ought	Need
1444	Our car was  badly __ in the accident.	broken	injured	damaged	hurt
1445	Do come  __ instead of standing there on the doorstep in the rain.	into	in	to	by
1446	Everyone in the village __  about the plans for the new road.	took care	was concerned	had  concerned	contacted
1447	He __ his friend to go camping with  him.	attracted	suggested	appealed	persuaded
1448	- Alistair: I'm  in an awful mess here. Could you give me a hand? - Alexander: Certainly. What  needs __?	to be done	to do	to be doing	to have done
1449	I  __ my family very much when I'm away from home.	lack	miss	long	lose
1450	The __ age of the  population in most western countries is rising fast.	medium	general	average	middle
1451	You  can't get sleeping pills unless you go to the doctor and get a __.	receipt	bill	prescription	recipe
1452	Driving a car with faulty brakes is __ quite a risk.	putting	setting	taking	being
1453	The  shop assistant apologized and said that they didn't have any of them __  yet.	out of stock	in store	in stock	on  hand
1454	You really __ have passed that exam: you obviously  didn't work hard enough!	should	must	ought	can
1455	Sue  hadn't seen her brother for thirty years and __ they recognized each other  instantly.	yet	so	despite	also
1456	You  __ be exhausted after that walk.	can	need	must	ought
1457	"The new pills are  round, so they're easier to __."	swallow	eat	chew	bite
1458	"I had to be up  early the next morning, so I __ myself and left the party."	refused	thanked	excused	apologized
1459	Do  you __ to go to the party?	attempt	attend	intend	pretend
1460	We __ the plumbers to install an extra  radiator in the living-room.	had	made	got	arranged
1461	I'm free this evening. __ we go out to  dinner?	Will	Shall	Won't	Would
1462	Someone  threw the drowning man a lifebelt in the __ of time.	knack	end	nick	quick
1463	Children have to stay  __ school until they are 15.	with	on	to	at
1464	The  management received a lot of __ about the poor service in their hotel.	complaints	information	warnings	advice
1465	It has been raining  steadily and continuously for three days __ now.	at an end	on  end	in the end	no end
1466	The opening __ of the  play took place in an army camp.	stage	scene	sight	piece
1467	I don't  know what to do this weekend. Perhaps I __ at home and do some work.	will  stay	am staying	stay	would stay
1468	"When you  __ him, give him my best wishes."	will visit	would  visit	visit	have visited
1469	The sign in the cinema  asks people __ smoke.	to not	not to	don't	to stop
1470	"Despite  her undoubted ability at tennis, she never became the __ of the local  tennis club."	member	partner	champion	winner
1471	"We went to see play last night and, __ for Tony, we  all enjoyed it very much."	apart	aside	except	unless
1472	I hate  being unemployed. I'd feel much happier if I were in __.	job	touch	prison	work
1473	Four  meters of this material __ at $24.50.	add  up	fetch down	work out	come through
1474	It was difficult to __ a date which was convenient for everyone.	elect	organize	arrange	provide
1475	There  was nothing they could do __ leave the car at the roadside where it had  broken down.	than	unless	instead of	but
1476	Did anything emerge __ your discussion?	of	off	from	on
1477	"He might be good at  his job, but you can't rely __ him."	on	at	with	about
1478	The concert began  __ a piece by an unknown composer.	on	in	of	with
1479	"When he realized it  was four o'clock, he stopped __ a rest and went on working."	have	had	having	has
1480	Have you  got time to discuss your work now or are you __ to leave?	thinking	planed	around	about
1481	"The young soldier __ a dangerous mission  across the desert, although he knew that he might be killed."	undertook	agreed	promised	entered
1482	What a lovely dress  __ on.	have you	you've got	have you got	do you  have
1483	"They have just released a new record called 'Starlight',  __ you must buy."	who	what	that	which
1484	"Because  nobody admitted breaking the window, the __ class was kept in after  school."	all	whole	each	every
